ID,CourseName,locationText
H911,Doctor of Medicine,This course is offered with blended delivery
M539,Executive Graduate Certificate of Sport Business,"This course is offered  in Trimester one, Online only"
M709,Executive Master of Sport Business,"This course is offered  in Trimester one and two, Online only"
E506,"Graduate Certificate of Adult, Vocational Education and Training","This course is offered  in Trimester one and two, Online only"
H575,Graduate Certificate of Advanced Nursing,"This course is offered  in Trimester one and two, Online only"
H522,Graduate Certificate of Agricultural Health and Medicine,"This course is offered  in Trimester one and two, Online only"
E537,Graduate Certificate of Applied Learning and Teaching,"This course is offered  in Trimester one and two, Online only"
S536,Graduate Certificate of Artificial Intelligence,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus and Online"
M553,Graduate Certificate of Artificial Intelligence for Business,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M519,Graduate Certificate of Business (Arts and Cultural Management),"This course is offered  in Trimester one and two, Online only"
M518,Graduate Certificate of Business (Sport Management),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M501,Graduate Certificate of Business Administration,"This course is offered  in Trimester one, two, and three, Online only"
M561,Graduate Certificate of Business Analytics,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H565,Graduate Certificate of Cardiac Nursing,"This course is offered  in Trimester one and two, Online only"
S508,Graduate Certificate of Cloud Architectures and Solutions,"This course is offered  in Trimester one and two, Online only"
M516,Graduate Certificate of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
A539,Graduate Certificate of Communication,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
S591,Graduate Certificate of Construction Management,"This course is offered  in Trimester one, two, and three, at Geelong Waterfront Campus and Online"
H558,Graduate Certificate of Counselling,"This course is offered  in Trimester one, Online only"
A559,Graduate Certificate of Creative Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus"
A504,Graduate Certificate of Criminology,"This course is offered  in Trimester one and two, Online only"
H567,Graduate Certificate of Critical Care Nursing,This course is offered Online only
A568,Graduate Certificate of Cultural Heritage and Museum Studies,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S535,Graduate Certificate of Cyber Security,"This course is offered  in Trimester one, two, and three, at Geelong Waurn Ponds Campus and Online"
S576,Graduate Certificate of Data Analytics,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
H520,Graduate Certificate of Diabetes Education,"This course is offered  in Trimester one, Online only"
M535,Graduate Certificate of Digital Finance,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M568,Graduate Certificate of Digital Transformation and Cyber Security,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H508,Graduate Certificate of Disability and Inclusion,"This course is offered  in Trimester one and two, Online only"
E511,Graduate Certificate of Education (International Baccalaureate Pyp Early Years),"This course is offered  in Trimester one and two, Online only"
E512,Graduate Certificate of Education (Trauma-Responsive Education),"This course is offered  in Trimester one and two, Online only"
E556,Graduate Certificate of Education Business Leadership,"This course is offered  in Trimester one and two, Online only"
E590,Graduate Certificate of Education Research,"This course is offered  in Trimester one, two, and three, Online only"
H566,Graduate Certificate of Emergency Nursing,"This course is offered  in Trimester one and two, Online only"
S550,Graduate Certificate of Engineering,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus and Online"
H546,Graduate Certificate of Epidemiology Intelligence,"This course is offered  in Trimester one and  three, at Melbourne Burwood Campus"
M569,Graduate Certificate of Financial Planning,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
H504,Graduate Certificate of Health Economics,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
H515,Graduate Certificate of Health Promotion,"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
H541,Graduate Certificate of Health Research Practice,"This course is offered  in Trimester one, Online only"
H556,Graduate Certificate of Health and Human Services Management,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H523,Graduate Certificate of Health and Medical Research,"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus and Online"
M543,Graduate Certificate of Healthcare Management,"This course is offered  in Trimester one, two, and three, Online only"
E510,Graduate Certificate of Higher Education (Learning and Teaching),"This course is offered  in Trimester one, two, and three, Online only"
H511,Graduate Certificate of Human Nutrition,"This course is offered  in Trimester one, two, and three, Online only"
M515,Graduate Certificate of Human Resource Management,"This course is offered  in Trimester one and two, Online only"
A567,Graduate Certificate of Humanitarian Assistance,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
M522,Graduate Certificate of Information Systems,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
S578,Graduate Certificate of Information Technology,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S538,Graduate Certificate of Information Technology Management,"This course is offered  in Trimester one, two, and three, at Geelong Waurn Ponds Campus and Online"
H545,Graduate Certificate of Intensive Care Nursing,"This course is offered  in Trimester one and two, Online only"
A503,Graduate Certificate of International Relations,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
A565,Graduate Certificate of International and Community Development,"This course is offered  in Trimester one, two, and three, Online only"
H568,Graduate Certificate of Intraoperative Nursing,"This course is offered  in Trimester one, Online only"
M597,Graduate Certificate of Leadership,"This course is offered  in Trimester one, two, and three, Online only"
M560,Graduate Certificate of Marketing Technology,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H569,Graduate Certificate of Perianaesthesia Nursing,"This course is offered  in Trimester one, Online only"
H572,Graduate Certificate of Perioperative Nursing,"This course is offered  in Trimester one, Online only"
A502,Graduate Certificate of Politics and Policy,"This course is offered  in Trimester one, two, and three, Online only"
M506,Graduate Certificate of Professional Accounting,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
M511,Graduate Certificate of Property,"This course is offered  in Trimester one and two, Online only"
M512,Graduate Certificate of Public Accounting,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
H547,Graduate Certificate of Public Health,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
M514,Graduate Certificate of Recruitment and Talent Acquisition,"This course is offered  in Trimester one and two, Online only"
E515,Graduate Certificate of Secondary Mathematics,This course is offered Online only
E514,Graduate Certificate of Secondary Science,This course is offered Online only*
E544,Graduate Certificate of Specialist Inclusive Education,"This course is offered  in Trimester one and two, Online only"
H514,Graduate Certificate of Sport Performance Analysis,"This course is offered  in Trimester one, two, and three, Online only*"
H513,Graduate Certificate of Strength and Conditioning,"This course is offered  in Trimester one, two, and three, Online only*"
S527,Graduate Certificate of Sustainability,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
E504,Graduate Certificate of Teaching English to Speakers of other Languages,"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
H505,Graduate Certificate of Therapeutic Child Play,"This course is offered  in Trimester one, Online only"
A535,Graduate Certificate of Writing and Literature,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
H675,Graduate Diploma of Advanced Nursing,"This course is offered  in Trimester one and two, Online only"
H607,Graduate Diploma of Applied Sport Science,"This course is offered  in Trimester one, two, and three, Online only*"
M601,Graduate Diploma of Business Administration,"This course is offered  in Trimester one, two, and three, Online only"
H665,Graduate Diploma of Cardiac Nursing,"This course is offered  in Trimester one and two, Online only"
A641,Graduate Diploma of Children's Literature,"This course is offered  in Trimester one and two, Online only"
A639,Graduate Diploma of Communication,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
S691,Graduate Diploma of Construction Management,"This course is offered  in Trimester one and two, at Geelong Waterfront Campus and Online"
H658,Graduate Diploma of Counselling,"This course is offered  in Trimester one, Online only"
A659,Graduate Diploma of Creative Arts,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus"
A636,Graduate Diploma of Creative Writing,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H667,Graduate Diploma of Critical Care Nursing,This course is offered  in Trimester two Online only
S677,Graduate Diploma of Data Science,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
A634,Graduate Diploma of Digital Media,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
H666,Graduate Diploma of Emergency Nursing,This course is offered  in Trimester two Online only
M630,Graduate Diploma of Finance,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
M669,Graduate Diploma of Financial Planning,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H615,Graduate Diploma of Health Promotion,This course is offered at Melbourne Burwood Campus and Online
H656,Graduate Diploma of Health and Human Services Management,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
H616,Graduate Diploma of Human Nutrition,"This course is offered  in Trimester two and three, Online only"
A601,Graduate Diploma of Indigenous Research,This course is offered at Geelong Waurn Ponds Campus
H645,Graduate Diploma of Intensive Care Nursing,This course is offered  in Trimester two Online only
H668,Graduate Diploma of Intraoperative Nursing,This course is offered Online only
A649,Graduate Diploma of Journalism,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
A660,Graduate Diploma of Land and Sea Country Management,This course is offered at Geelong Waurn Ponds Campus*
A635,Graduate Diploma of Literary Studies,This course is offered  in Trimester two Online only
H676,Graduate Diploma of Midwifery,This course is offered Online only
A668,Graduate Diploma of Museum Studies,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
H669,Graduate Diploma of Perianaesthesia Nursing,This course is offered Online only
H672,Graduate Diploma of Perioperative Nursing,This course is offered Online only
M696,Graduate Diploma of Professional Accounting,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
A661,Graduate Diploma of Professional Writing,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
M633,Graduate Diploma of Property,This course is offered  in Trimester two Online only
H603,Graduate Diploma of Psychological Science,"This course is offered  in Trimester two and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
H650,Graduate Diploma of Psychology (Advanced),This course is offered at Melbourne Burwood and Geelong Waterfront Campuses and Online
H647,Graduate Diploma of Public Health,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
A643,Graduate Diploma of Public Relations,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
S627,Graduate Diploma of Sustainability,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
H605,Graduate Diploma of Therapeutic Child Play,This course is offered Online only
A638,Graduate Diploma of Visual Communication Design,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
A664,Graduate Diploma of Writing and Literature,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
M729,Juris Doctor,"This course is offered  in Trimester two and three, Online only"
H771,Master of Advanced Clinical Nursing,This course is offered Online only
H777,Master of Advanced Nursing,This course is offered  in Trimester two Online only
S736,Master of Applied Artificial Intelligence,"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S737,Master of Applied Artificial Intelligence (Professional),This course is offered  in Trimester two at Geelong Waurn Ponds Campus and Online
E737,Master of Applied Learning and Teaching (Secondary),This course is offered Online only*
H707,Master of Applied Sport Science,"This course is offered  in Trimester two and three, Online only*"
S700,Master of Architecture,This course is offered  in Trimester two at Geelong Waterfront Campus
A764,Master of Arts (Writing and Literature),"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
M785,Master of Business (Arts and Cultural Management),This course is offered  in Trimester two Online only
M748,Master of Business (Sport Management),This course is offered  in Trimester two at Melbourne Burwood Campus and Online
M701,Master of Business Administration,"This course is offered  in Trimester two and three, Online only"
M751,Master of Business Administration (International),"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
M761,Master of Business Analytics,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H706,Master of Child Play Therapy,This course is offered Online only*
H743,Master of Clinical Exercise Physiology,This course is offered at Melbourne Burwood Campus
M755,Master of Commerce,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
A743,Master of Communication,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
S792,Master of Construction Management (Professional),"This course is offered  in Trimester two and three, at Geelong Waterfront Campus and Online"
H758,Master of Counselling,This course is offered at Melbourne Burwood Campus
A759,Master of Creative Arts,This course is offered  in Trimester two at Melbourne Burwood Campus
A704,Master of Criminology,This course is offered  in Trimester two Online only
A768,Master of Cultural Heritage and Museum Studies,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
S734,Master of Cyber Security,"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S735,Master of Cyber Security (Professional),"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S777,Master of Data Science,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
S770,Master of Data Science (Professional),"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H718,Master of Dietetics,This course is offered at Melbourne Burwood Campus
H709,Master of Disability and Inclusion,This course is offered  in Trimester two Online only
E725,Master of Education (Leadership and Learning),This course is offered  in Trimester two Online only
S756,Master of Energy System Management,"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S757,Master of Energy System Management (Professional),"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S751,Master of Engineering (Professional),"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
M750,Master of Finance,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
M769,Master of Financial Planning,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H704,Master of Health Economics,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H759,Master of Health Promotion,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
H756,Master of Health and Human Services Management,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H714,Master of Human Nutrition,"This course is offered  in Trimester two and three, Online only"
M782,Master of Human Resource Management,This course is offered  in Trimester two Online only
M722,Master of Information Systems,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
S776,Master of Information Technology,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
S779,Master of Information Technology (Professional),"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
S738,Master of Information Technology Management,"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S739,Master of Information Technology Management (Professional),"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S758,Master of Infrastructure Engineering and Management,"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
S759,Master of Infrastructure Engineering and Management (Professional),"This course is offered  in Trimester two and three, at Geelong Waurn Ponds Campus and Online"
A703,Master of International Relations,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
A765,Master of International and Community Development,"This course is offered  in Trimester two and three, Online only"
M797,Master of Leadership,"This course is offered  in Trimester two and three, Online only"
H748,Master of Nutrition and Population Health,This course is offered  in Trimester two at Melbourne Burwood Campus
A702,Master of Politics and Policy,"This course is offered  in Trimester two and three, Online only"
M742,Master of Professional Accounting,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H744,Master of Professional Psychology,This course is offered at Melbourne Burwood and Geelong Waterfront Campuses
H750,Master of Psychology (Clinical),This course is offered at Melbourne Burwood and Geelong Waterfront Campuses
H752,Master of Psychology (Organisational),This course is offered at Melbourne Burwood Campus
H757,Master of Public Health,"This course is offered  in Trimester two and three, at Melbourne Burwood Campus and Online"
H703,Master of Social Work,This course is offered Online only*
E734,Master of Specialist Inclusive Education,"This course is offered  in Trimester two and three, Online only"
S727,Master of Sustainability,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
S728,Master of Sustainability (Professional),This course is offered  in Trimester two at Melbourne Burwood Campus and Online
