ID,CourseName,locationText
E761,Master of Teaching (Early Childhood),This course is offered at Melbourne Burwood Campus and Online
E764,Master of Teaching (Primary and Early Childhood),This course is offered at Melbourne Burwood Campus and Online
E765,Master of Teaching (Primary and Secondary),This course is offered at Melbourne Burwood Campus and Online
E762,Master of Teaching (Primary),This course is offered at Melbourne Burwood Campus and Online
E763,Master of Teaching (Secondary),This course is offered at Melbourne Burwood Campus and Online
E704,Master of Teaching English to Speakers of other Languages,This course is offered  in Trimester two at Melbourne Burwood Campus and Online
S917,Doctor of Philosophy,This course is offered at Geelong Waterfront Campus
S915,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
S911,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
S913,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
S910,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
M900,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses and Online"
E900,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
H910,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Geelong Waterfront Campuses and Online"
H930,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Geelong Waterfront Campuses and Online"
A900,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, Geelong Waterfront, and Warrnambool Campuses and Online"
H961,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
H950,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses and Online"
H960,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
H940,Doctor of Philosophy,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Geelong Waterfront Campuses and Online"
F905,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
F945,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
F902,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
F943,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
F975,Doctor of Philosophy,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
H902,Doctor of Philosophy (Phd),"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Geelong Waterfront Campuses and Online"
H951,Doctor of Psychology (Clinical),This course is offered at Melbourne Burwood Campus
H860,Master of Applied Science,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online
H861,Master of Applied Science,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Geelong Waterfront Campuses and Online"
S800,Master of Architecture (Research),This course is offered at Geelong Waterfront Campus
A800,Master of Arts,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
S805,Master of Construction Management (Research),This course is offered at Geelong Waterfront Campus
E850,Master of Education (Research),"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
S825,Master of Engineering,This course is offered at Geelong Waurn Ponds Campus
F805,Master of Engineering,This course is offered at Geelong Waurn Ponds Campus
F845,Master of Engineering,This course is offered at Geelong Waurn Ponds Campus
H821,Master of Nursing,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
H800,Master of Philosophy,This course is offered at Geelong Waurn Ponds Campus
M820,Master of Research (Business),This course is offered at Melbourne Burwood Campus
S811,Master of Science,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
S813,Master of Science,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
S810,Master of Science,"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
F843,Master of Science,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
F873,Master of Science,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses
F802,Master of Science,This course is offered at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online
H803,Master of Social Work (Research),This course is offered at Geelong Waterfront Campus and Online
H801,Master of Surgical Research,This course is offered at Geelong Waurn Ponds Campus
A250,Associate Degree of Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
E200,Associate Degree of Education,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
S308,Bachelor of Artificial Intelligence,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S408,Bachelor of Artificial Intelligence (Honours),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
A310,Bachelor of Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A400,Bachelor of Arts (Honours),"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A301,Bachelor of Arts (Psychology),"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
D310,Bachelor of Arts / Bachelor of Information Technology,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
D303,Bachelor of Arts / Master of Teaching (Secondary),"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
D312,Bachelor of Arts/Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D311,Bachelor of Arts/Bachelor of Science,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
D305,Bachelor of Arts/Master of International Relations,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S323,Bachelor of Biomedical Science,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
M325,Bachelor of Business,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
M391,Bachelor of Business (Sport Management),"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
M340,Bachelor of Business Analytics,This course is offered at Melbourne Burwood Campus and Online
D330,Bachelor of Business/Bachelor of Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
M300,Bachelor of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D385,Bachelor of Commerce/Bachelor of Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D366,Bachelor of Commerce/Bachelor of Business Analytics,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
D360,Bachelor of Commerce/Bachelor of Communication,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D322,Bachelor of Commerce/Bachelor of Laws,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D321,Bachelor of Commerce/Bachelor of Science,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus"
A318,Bachelor of Communication,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A451,Bachelor of Communication (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
S306,Bachelor of Computer Science,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S406,Bachelor of Computer Science (Honours),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S346,Bachelor of Construction Management (Honours),"This course is offered  in Trimester one and two, at Geelong Waterfront Campus"
D336,Bachelor of Construction Management (Honours)/Bachelor of Property and Real Estate,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses*"
A317,Bachelor of Creative Arts,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus"
A450,Bachelor of Creative Arts (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
A329,Bachelor of Criminology,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
D380,Bachelor of Criminology/Bachelor of Cyber Security,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
D335,Bachelor of Criminology/Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses"
D390,Bachelor of Criminology/Bachelor of Psychological Science,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S334,Bachelor of Cyber Security,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S434,Bachelor of Cyber Security (Honours),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S379,Bachelor of Data Science,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S479,Bachelor of Data Science (Honours),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
A319,Bachelor of Design,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S342,Bachelor of Design (Architecture),"This course is offered  in Trimester one and two, at Geelong Waterfront Campus"
D306,Bachelor of Design (Architecture)/ Master of Architecture,"This course is offered  in Trimester one, at Geelong Waterfront Campus"
D364,Bachelor of Design (Architecture)/Bachelor of Construction Management (Honours),"This course is offered  in Trimester one and two, at Geelong Waterfront Campus"
E333,Bachelor of Early Childhood Education,"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
E334,Bachelor of Early Childhood and Primary Education,"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
E359,Bachelor of Education (Primary),"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
S466,Bachelor of Engineering (Industry) (Honours),"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus and Online"
S398,Bachelor of Environmental Science (Environmental Management and Sustainability),This course is offered  in Trimester two at Melbourne Burwood Campus
S494,Bachelor of Environmental Science (Honours),"This course is offered at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
S393,Bachelor of Environmental Science (Wildlife and Conservation Biology),"This course is offered  in Trimester two and three, at Melbourne Burwood Campus"
H343,Bachelor of Exercise and Sport Science,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H442,Bachelor of Exercise and Sport Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
D394,Bachelor of Exercise and Sport Science/Bachelor of Business (Sport Management),"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
D333,Bachelor of Exercise and Sport Science/Bachelor of Nutrition Science,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
A351,"Bachelor of Film, Television and Animation","This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus"
A452,"Bachelor of Film, Television and Animation (Honours)","This course is offered  in Trimester one, at Melbourne Burwood Campus"
S324,Bachelor of Forensic Science,This course is offered at Geelong Waurn Ponds Campus
S401,Bachelor of Forensic Science (Honours),"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
D329,Bachelor of Forensic Science/Bachelor of Criminology,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus"
H300,Bachelor of Health Sciences,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
H400,Bachelor of Health Sciences (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
D391,Bachelor of Health Sciences/Bachelor of Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H413,Bachelor of Health and Medical Science (Honours),"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
E377,Bachelor of Health and Physical Education,"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
M335,Bachelor of Human Resource Management (Psychology),"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
S326,Bachelor of Information Technology,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S470,Bachelor of Information Technology (Honours),"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A326,Bachelor of International Studies,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
A306,Bachelor of International Studies (Global Scholar),"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D338,Bachelor of International Studies/Bachelor of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
M312,Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses"
D397,Bachelor of Laws/Bachelor of Cyber Security,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D323,Bachelor of Laws/Bachelor of International Studies,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses*"
S337,Bachelor of Marine Science,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds and Warrnambool Campuses"
M336,Bachelor of Marketing (Psychology),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H309,Bachelor of Medical Imaging,"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
H326,Bachelor of Nursing,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
H329,Bachelor of Nursing (Clinical Leadership),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
H421,Bachelor of Nursing (Honours),"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
D355,Bachelor of Nursing/Bachelor of Midwifery,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
D387,Bachelor of Nursing/Bachelor of Psychological Science,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
D381,Bachelor of Nursing/Bachelor of Public Health and Health Promotion,"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waterfront Campuses"
H315,Bachelor of Nutrition Science,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus"
H318,Bachelor of Nutrition Science (Dietetics Pathway),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
H418,Bachelor of Nutrition Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
D301,Bachelor of Nutrition Science/Bachelor of Commerce,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H355,Bachelor of Occupational Therapy,"This course is offered  in Trimester one, at Geelong Waterfront and Warrnambool Campuses"
A336,"Bachelor of Politics, Philosophy and Economics","This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
M348,Bachelor of Property and Real Estate,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
D325,Bachelor of Property and Real Estate/Bachelor of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
D396,Bachelor of Property and Real Estate/Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H344,Bachelor of Psychological Science,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
H452,Bachelor of Psychological Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
H345,Bachelor of Psychology (Honours),"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H313,Bachelor of Public Health and Health Promotion,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
H412,Bachelor of Public Health and Health Promotion (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
D388,Bachelor of Public Health and Health Promotion/Bachelor of Commerce,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S320,Bachelor of Science,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
S400,Bachelor of Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
D304,Bachelor of Science / Master of Teaching (Secondary),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
D331,Bachelor of Science/Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus"
H330,Bachelor of Social Work,"This course is offered  in Trimester one, at Geelong Waterfront and Warrnambool Campuses"
S464,Bachelor of Software Engineering (Honours),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M320,Bachelor of Sport Development,"This course is offered  in Trimester one, at Melbourne Burwood Campus"
D302,Bachelor of Vision Science/Master of Optometry,"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
S369,Bachelor of Zoology and Animal Science,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus"
A221,Diploma of Arabic,"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
A222,Diploma of Chinese,"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A223,Diploma of Indonesian,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A224,Diploma of Spanish,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
